chromosome	start	end	name	score
scaffold_28	251141	251440	e_gw.28.118.1	0
scaffold_28	255417	255752	e_gw.28.52.1	0
scaffold_28	260213	262572	e_gw.28.91.1	0
scaffold_28	287712	287978	e_gw.28.111.1	0
scaffold_28	289263	289523	e_gw.28.238.1	0
scaffold_28	290851	291654	e_gw.28.66.1	0
scaffold_28	308872	317226	estExt_fgenesh1_pg.C_280022	0
scaffold_28	327125	329032	gw.28.267.1	0
scaffold_28	356246	368730	fgenesh1_pg.scaffold_28000025	0
scaffold_28	369013	371069	estExt_fgenesh1_pg.C_280026	0
scaffold_28	378489	378827	gw.28.180.1	0
scaffold_28	385666	385989	e_gw.28.160.1	0
scaffold_28	408166	408723	e_gw.28.284.1	0
scaffold_28	412421	434701	e_gw.28.23.1	0
scaffold_28	435577	439041	estExt_fgenesh1_kg.C_280002	0
scaffold_28	439239	441996	estExt_fgenesh1_pg.C_280031	0
scaffold_28	445762	450814	estExt_gwp.C_280091	0
scaffold_28	451471	454619	estExt_GenewiseH_1.C_280093	0
scaffold_28	457552	483015	e_gw.28.122.1	0
scaffold_28	499327	501759	estExt_gwp.C_280106	0
scaffold_28	502916	510279	e_gw.28.126.1	0
scaffold_28	517105	520701	estExt_GenewiseH_1.C_280115	0
scaffold_28	520731	521727	fgenesh1_pg.scaffold_28000043	0
scaffold_28	523622	526056	e_gw.28.127.1	0
scaffold_28	553548	556621	estExt_gwp.C_280123	0
scaffold_28	557194	557343	e_gw.28.287.1	0
scaffold_28	560405	575654	estExt_fgenesh1_pg.C_280049	0
scaffold_28	576853	577068	e_gw.28.12.1	0
scaffold_28	580372	593364	e_gw.28.29.1	0
scaffold_28	602148	602459	e_gw.28.195.1	0
scaffold_28	604305	608035	fgenesh1_pg.scaffold_28000054	0
scaffold_28	619223	620842	e_gw.28.159.1	0
scaffold_28	626418	627380	fgenesh1_pg.scaffold_28000056	0
scaffold_28	645056	645718	fgenesh1_pg.scaffold_28000057	0
scaffold_28	659391	660440	fgenesh1_pg.scaffold_28000058	0
scaffold_28	665560	666216	estExt_fgenesh1_pg.C_280059	0
scaffold_28	666533	669012	fgenesh1_pg.scaffold_28000060	0
scaffold_28	671151	671426	gw.28.211.1	0
scaffold_28	676987	678060	fgenesh1_pg.scaffold_28000062	0
scaffold_28	691528	692628	fgenesh1_pg.scaffold_28000063	0
scaffold_28	726180	732578	fgenesh1_pg.scaffold_28000065	0
scaffold_28	733953	737850	fgenesh1_pg.scaffold_28000066	0
scaffold_28	738576	739214	fgenesh1_pg.scaffold_28000067	0
