chromosome	start	end	name	score
scaffold_15085	133	1116	fgenesh1_pg.scaffold_15085000001	0
scaffold_15266	47	866	fgenesh1_pg.scaffold_15266000001	0
scaffold_15274	399	837	fgenesh1_pg.scaffold_15274000001	0
scaffold_15279	8	767	fgenesh1_pg.scaffold_15279000001	0
scaffold_15315	218	796	fgenesh1_pg.scaffold_15315000001	0
scaffold_15334	364	982	fgenesh1_pg.scaffold_15334000001	0
scaffold_15351	41	1142	fgenesh1_pg.scaffold_15351000001	0
scaffold_15363	480	995	fgenesh1_pg.scaffold_15363000001	0
scaffold_15366	72	1022	fgenesh1_pg.scaffold_15366000001	0
scaffold_15454	182	1037	fgenesh1_pg.scaffold_15454000001	0
scaffold_15484	43	870	fgenesh1_pg.scaffold_15484000001	0
scaffold_15493	1	1069	fgenesh1_pg.scaffold_15493000001	0
scaffold_15546	50	1420	fgenesh1_pg.scaffold_15546000001	0
scaffold_15563	8	385	fgenesh1_pg.scaffold_15563000001	0
scaffold_15604	18	1105	fgenesh1_pg.scaffold_15604000001	0
scaffold_15635	1	1052	fgenesh1_pg.scaffold_15635000001	0
scaffold_15678	83	776	fgenesh1_pg.scaffold_15678000001	0
scaffold_15694	253	1111	fgenesh1_pg.scaffold_15694000001	0
scaffold_15761	229	1038	fgenesh1_pg.scaffold_15761000001	0
scaffold_15770	295	602	fgenesh1_pg.scaffold_15770000001	0
scaffold_15799	303	858	fgenesh1_pg.scaffold_15799000001	0
scaffold_15813	230	873	fgenesh1_pg.scaffold_15813000001	0
scaffold_15874	299	709	fgenesh1_pg.scaffold_15874000001	0
scaffold_15889	9	1014	fgenesh1_pg.scaffold_15889000001	0
scaffold_16097	422	994	fgenesh1_pg.scaffold_16097000001	0
scaffold_16283	296	1011	fgenesh1_pg.scaffold_16283000001	0
scaffold_16311	28	1040	fgenesh1_pg.scaffold_16311000001	0
scaffold_16313	744	1044	fgenesh1_pg.scaffold_16313000001	0
scaffold_16314	180	704	fgenesh1_pg.scaffold_16314000001	0
scaffold_16326	91	1027	fgenesh1_pg.scaffold_16326000001	0
scaffold_16382	452	1057	fgenesh1_pg.scaffold_16382000001	0
scaffold_16397	143	604	fgenesh1_pg.scaffold_16397000001	0
scaffold_16459	459	1046	fgenesh1_pg.scaffold_16459000001	0
scaffold_16507	65	1042	fgenesh1_pg.scaffold_16507000001	0
scaffold_16514	288	854	fgenesh1_pg.scaffold_16514000001	0
scaffold_16526	15	807	fgenesh1_pg.scaffold_16526000001	0
scaffold_16528	191	1043	fgenesh1_pg.scaffold_16528000001	0
scaffold_16540	125	795	fgenesh1_pg.scaffold_16540000001	0
scaffold_16546	63	1022	fgenesh1_pg.scaffold_16546000001	0
scaffold_16562	76	984	fgenesh1_pg.scaffold_16562000001	0
scaffold_16590	59	1059	fgenesh1_pg.scaffold_16590000001	0
scaffold_16623	259	832	fgenesh1_pg.scaffold_16623000001	0
scaffold_16630	129	779	fgenesh1_pg.scaffold_16630000001	0
scaffold_16643	462	1056	fgenesh1_pg.scaffold_16643000001	0
scaffold_16761	35	1082	fgenesh1_pg.scaffold_16761000001	0
scaffold_16788	125	802	fgenesh1_pg.scaffold_16788000001	0
scaffold_16808	44	844	fgenesh1_pg.scaffold_16808000001	0
scaffold_16925	174	923	fgenesh1_pg.scaffold_16925000001	0
scaffold_16933	515	1037	fgenesh1_pg.scaffold_16933000001	0
scaffold_17114	97	586	fgenesh1_pg.scaffold_17114000001	0
scaffold_17136	137	1066	fgenesh1_pg.scaffold_17136000001	0
scaffold_17207	244	921	fgenesh1_pg.scaffold_17207000001	0
scaffold_17307	725	1051	fgenesh1_pg.scaffold_17307000001	0
scaffold_17320	99	1038	fgenesh1_pg.scaffold_17320000001	0
scaffold_17473	227	997	fgenesh1_pg.scaffold_17473000001	0
scaffold_17524	229	909	fgenesh1_pg.scaffold_17524000001	0
scaffold_17545	111	1042	fgenesh1_pg.scaffold_17545000001	0
scaffold_17548	1	1050	fgenesh1_pg.scaffold_17548000001	0
scaffold_17588	184	948	fgenesh1_pg.scaffold_17588000001	0
scaffold_17692	394	900	fgenesh1_pg.scaffold_17692000001	0
scaffold_17699	477	837	fgenesh1_pg.scaffold_17699000001	0
scaffold_17702	186	875	fgenesh1_pg.scaffold_17702000001	0
scaffold_17710	82	655	fgenesh1_pg.scaffold_17710000001	0
scaffold_17712	287	982	fgenesh1_pg.scaffold_17712000001	0
scaffold_17715	320	886	fgenesh1_pg.scaffold_17715000001	0
scaffold_17719	18	1043	fgenesh1_pg.scaffold_17719000001	0
scaffold_17766	282	1010	fgenesh1_pg.scaffold_17766000001	0
scaffold_17806	402	968	fgenesh1_pg.scaffold_17806000001	0
scaffold_17978	644	1027	fgenesh1_pg.scaffold_17978000001	0
scaffold_18048	222	774	fgenesh1_pg.scaffold_18048000001	0
scaffold_18061	8	769	fgenesh1_pg.scaffold_18061000001	0
scaffold_18241	334	837	fgenesh1_pg.scaffold_18241000001	0
scaffold_18279	133	896	fgenesh1_pg.scaffold_18279000001	0
scaffold_18289	70	732	fgenesh1_pg.scaffold_18289000001	0
scaffold_18450	542	1000	fgenesh1_pg.scaffold_18450000001	0
scaffold_18482	483	941	fgenesh1_pg.scaffold_18482000001	0
scaffold_18483	46	973	fgenesh1_pg.scaffold_18483000001	0
scaffold_18527	361	900	fgenesh1_pg.scaffold_18527000001	0
scaffold_18534	62	976	fgenesh1_pg.scaffold_18534000001	0
scaffold_18567	53	844	fgenesh1_pg.scaffold_18567000001	0
scaffold_18626	90	747	fgenesh1_pg.scaffold_18626000001	0
scaffold_18652	6	862	fgenesh1_pg.scaffold_18652000001	0
scaffold_18664	198	947	fgenesh1_pg.scaffold_18664000001	0
scaffold_18796	150	926	fgenesh1_pg.scaffold_18796000001	0
scaffold_18802	174	811	fgenesh1_pg.scaffold_18802000001	0
scaffold_18831	522	893	fgenesh1_pg.scaffold_18831000001	0
scaffold_599	24903	28202	fgsh_est.C_scaffold_599000001	0
scaffold_1813	4955	8438	fgsh_est.C_scaffold_1813000001	0
scaffold_7844	57	1649	fgsh_est.C_scaffold_7844000001	0
scaffold_9417	2169	2360	fgsh_est.C_scaffold_9417000001	0
scaffold_478	23005	28238	e_gw.478.7.1	0
scaffold_496	1202	1821	e_gw.496.7.1	0
scaffold_510	45020	45318	e_gw.510.6.1	0
scaffold_651	90	269	e_gw.651.1.1	0
scaffold_963	41282	41458	e_gw.963.1.1	0
scaffold_1265	34784	34954	e_gw.1265.2.1	0
scaffold_1477	17523	18010	e_gw.1477.1.1	0
scaffold_1815	10544	11025	e_gw.1815.2.1	0
scaffold_1815	11157	11370	e_gw.1815.4.1	0
scaffold_1842	7417	7932	e_gw.1842.2.1	0
scaffold_2056	13001	14577	e_gw.2056.2.1	0
scaffold_2099	277	538	e_gw.2099.1.1	0
scaffold_2137	76	836	e_gw.2137.2.1	0
scaffold_2153	11001	11271	e_gw.2153.4.1	0
scaffold_2192	7307	7649	e_gw.2192.3.1	0
scaffold_2279	6134	6432	e_gw.2279.3.1	0
scaffold_2292	171	323	e_gw.2292.2.1	0
scaffold_2350	1393	2647	e_gw.2350.1.1	0
scaffold_2539	11935	12099	e_gw.2539.1.1	0
scaffold_2582	7330	7479	e_gw.2582.1.1	0
scaffold_2619	6479	6658	e_gw.2619.1.1	0
scaffold_2723	1905	2057	e_gw.2723.1.1	0
scaffold_2727	11868	12253	e_gw.2727.3.1	0
scaffold_2928	3549	3844	e_gw.2928.2.1	0
scaffold_3031	9162	9513	e_gw.3031.2.1	0
scaffold_3161	2269	3764	e_gw.3161.2.1	0
scaffold_3529	44	422	e_gw.3529.1.1	0
scaffold_4096	7108	7948	e_gw.4096.1.1	0
scaffold_4314	6575	6724	e_gw.4314.1.1	0
scaffold_4370	967	1143	e_gw.4370.1.1	0
scaffold_4507	606	865	e_gw.4507.2.1	0
scaffold_4843	5594	6209	e_gw.4843.1.1	0
scaffold_4864	3418	4199	e_gw.4864.2.1	0
scaffold_5328	6122	6357	e_gw.5328.1.1	0
scaffold_5363	6798	6956	e_gw.5363.1.1	0
scaffold_5370	789	945	e_gw.5370.2.1	0
scaffold_5710	74	226	e_gw.5710.6.1	0
scaffold_5741	5867	6088	e_gw.5741.1.1	0
scaffold_5845	6233	6744	e_gw.5845.1.1	0
scaffold_5914	5532	6032	e_gw.5914.1.1	0
scaffold_5985	5979	6925	e_gw.5985.1.1	0
scaffold_6508	6194	6343	e_gw.6508.1.1	0
scaffold_6889	2078	2245	e_gw.6889.1.1	0
scaffold_6889	3057	3206	e_gw.6889.3.1	0
scaffold_6976	759	932	e_gw.6976.2.1	0
scaffold_7136	2960	3121	e_gw.7136.1.1	0
scaffold_7275	78	685	e_gw.7275.3.1	0
scaffold_7930	1089	2173	e_gw.7930.1.1	0
scaffold_8096	3050	3211	e_gw.8096.1.1	0
scaffold_8140	3125	3292	e_gw.8140.3.1	0
scaffold_8445	3543	3692	e_gw.8445.4.1	0
scaffold_8982	2491	2753	e_gw.8982.4.1	0
scaffold_8997	2540	2701	e_gw.8997.2.1	0
scaffold_9097	2607	2756	e_gw.9097.2.1	0
scaffold_9210	497	646	e_gw.9210.2.1	0
scaffold_9889	1835	2014	e_gw.9889.1.1	0
scaffold_9901	383	559	e_gw.9901.1.1	0
scaffold_10003	125	340	e_gw.10003.2.1	0
scaffold_11039	117	773	e_gw.11039.1.1	0
scaffold_11796	877	1053	e_gw.11796.1.1	0
scaffold_12603	651	1284	e_gw.12603.1.1	0
scaffold_13776	394	921	e_gw.13776.1.1	0
scaffold_14191	97	312	e_gw.14191.1.1	0
scaffold_15164	899	1072	e_gw.15164.1.1	0
scaffold_16437	152	343	e_gw.16437.1.1	0
